Datetime (UTC),Datetime (Local),Capacity factor,Hour,Month,Year,Day
2016-01-04 20:00:00,2016-01-04 21:00:00,0.0,21,1,2016,4
2016-01-04 21:00:00,2016-01-04 22:00:00,0.0,22,1,2016,4
2016-01-04 22:00:00,2016-01-04 23:00:00,0.0,23,1,2016,4
2016-01-04 23:00:00,2016-01-05 00:00:00,0.0,0,1,2016,5
2016-01-05 00:00:00,2016-01-05 01:00:00,0.0,1,1,2016,5
2016-01-05 01:00:00,2016-01-05 02:00:00,0.0,2,1,2016,5
2016-01-05 02:00:00,2016-01-05 03:00:00,0.0,3,1,2016,5
2016-01-05 03:00:00,2016-01-05 04:00:00,0.0,4,1,2016,5
2016-01-05 04:00:00,2016-01-05 05:00:00,0.0,5,1,2016,5
2016-01-05 05:00:00,2016-01-05 06:00:00,0.0,6,1,2016,5
2016-01-05 06:00:00,2016-01-05 07:00:00,0.0,7,1,2016,5
2016-01-05 07:00:00,2016-01-05 08:00:00,0.002,8,1,2016,5
2016-01-05 08:00:00,2016-01-05 09:00:00,0.089,9,1,2016,5
2016-01-05 09:00:00,2016-01-05 10:00:00,0.23,10,1,2016,5
2016-01-05 10:00:00,2016-01-05 11:00:00,0.323,11,1,2016,5
2016-01-05 11:00:00,2016-01-05 12:00:00,0.349,12,1,2016,5
2016-01-05 12:00:00,2016-01-05 13:00:00,0.328,13,1,2016,5
2016-01-05 13:00:00,2016-01-05 14:00:00,0.278,14,1,2016,5
2016-01-05 14:00:00,2016-01-05 15:00:00,0.204,15,1,2016,5
2016-01-05 15:00:00,2016-01-05 16:00:00,0.11,16,1,2016,5
2016-01-05 16:00:00,2016-01-05 17:00:00,0.018,17,1,2016,5
2016-01-05 17:00:00,2016-01-05 18:00:00,0.0,18,1,2016,5
2016-01-05 18:00:00,2016-01-05 19:00:00,0.0,19,1,2016,5
2016-01-05 19:00:00,2016-01-05 20:00:00,0.0,20,1,2016,5
2016-01-05 20:00:00,2016-01-05 21:00:00,0.0,21,1,2016,5
2016-01-05 21:00:00,2016-01-05 22:00:00,0.0,22,1,2016,5
2016-01-05 22:00:00,2016-01-05 23:00:00,0.0,23,1,2016,5
2016-01-05 23:00:00,2016-01-06 00:00:00,0.0,0,1,2016,6
2016-01-06 00:00:00,2016-01-06 01:00:00,0.0,1,1,2016,6
2016-01-06 01:00:00,2016-01-06 02:00:00,0.0,2,1,2016,6
2016-01-06 02:00:00,2016-01-06 03:00:00,0.0,3,1,2016,6
2016-01-06 03:00:00,2016-01-06 04:00:00,0.0,4,1,2016,6
2016-01-06 04:00:00,2016-01-06 05:00:00,0.0,5,1,2016,6
2016-01-06 05:00:00,2016-01-06 06:00:00,0.0,6,1,2016,6
2016-01-06 06:00:00,2016-01-06 07:00:00,0.0,7,1,2016,6
2016-01-06 07:00:00,2016-01-06 08:00:00,0.004,8,1,2016,6
2016-01-06 08:00:00,2016-01-06 09:00:00,0.052,9,1,2016,6
2016-01-06 09:00:00,2016-01-06 10:00:00,0.117,10,1,2016,6
2016-01-06 10:00:00,2016-01-06 11:00:00,0.186,11,1,2016,6
2016-01-06 11:00:00,2016-01-06 12:00:00,0.192,12,1,2016,6
2016-01-06 12:00:00,2016-01-06 13:00:00,0.19,13,1,2016,6
2016-01-06 13:00:00,2016-01-06 14:00:00,0.189,14,1,2016,6
2016-01-06 14:00:00,2016-01-06 15:00:00,0.149,15,1,2016,6
2016-01-06 15:00:00,2016-01-06 16:00:00,0.07,16,1,2016,6
2016-01-06 16:00:00,2016-01-06 17:00:00,0.009,17,1,2016,6
2016-01-06 17:00:00,2016-01-06 18:00:00,0.0,18,1,2016,6
2016-01-06 18:00:00,2016-01-06 19:00:00,0.0,19,1,2016,6
2016-01-06 19:00:00,2016-01-06 20:00:00,0.0,20,1,2016,6
2016-01-06 20:00:00,2016-01-06 21:00:00,0.0,21,1,2016,6
2016-01-06 21:00:00,2016-01-06 22:00:00,0.0,22,1,2016,6
2016-01-06 22:00:00,2016-01-06 23:00:00,0.0,23,1,2016,6
2016-01-06 23:00:00,2016-01-07 00:00:00,0.0,0,1,2016,7
2016-01-07 00:00:00,2016-01-07 01:00:00,0.0,1,1,2016,7
2016-01-07 01:00:00,2016-01-07 02:00:00,0.0,2,1,2016,7
2016-01-07 02:00:00,2016-01-07 03:00:00,0.0,3,1,2016,7
2016-01-07 03:00:00,2016-01-07 04:00:00,0.0,4,1,2016,7
2016-01-07 04:00:00,2016-01-07 05:00:00,0.0,5,1,2016,7
2016-01-07 05:00:00,2016-01-07 06:00:00,0.0,6,1,2016,7
2016-01-07 06:00:00,2016-01-07 07:00:00,0.0,7,1,2016,7
2016-01-07 07:00:00,2016-01-07 08:00:00,0.002,8,1,2016,7
2016-01-07 08:00:00,2016-01-07 09:00:00,0.045,9,1,2016,7
2016-01-07 09:00:00,2016-01-07 10:00:00,0.12,10,1,2016,7
2016-01-07 10:00:00,2016-01-07 11:00:00,0.199,11,1,2016,7
2016-01-07 11:00:00,2016-01-07 12:00:00,0.255,12,1,2016,7
2016-01-07 12:00:00,2016-01-07 13:00:00,0.273,13,1,2016,7
2016-01-07 13:00:00,2016-01-07 14:00:00,0.259,14,1,2016,7
2016-01-07 14:00:00,2016-01-07 15:00:00,0.202,15,1,2016,7
2016-01-07 15:00:00,2016-01-07 16:00:00,0.105,16,1,2016,7
